"","LMA_g_DW_m2.11.comps"
"(Intercept)",116.849043062567
"Wave_500",17.9585274024391
"Wave_501",17.9321031308065
"Wave_502",18.148885086518
"Wave_503",17.6562473075298
"Wave_504",16.8809850892294
"Wave_505",16.3739022089681
"Wave_506",15.3037436056635
"Wave_507",14.3085039766763
"Wave_508",13.9002784730644
"Wave_509",14.1245508548963
"Wave_510",14.1340993887777
"Wave_511",13.6130461377224
"Wave_512",12.7897346702149
"Wave_513",12.5409259952437
"Wave_514",12.5765031663389
"Wave_515",11.9485408714347
"Wave_516",11.6301945888286
"Wave_517",11.2820138564155
"Wave_518",10.3642127094945
"Wave_519",9.44970755240416
"Wave_520",8.54168411802093
"Wave_521",7.56807084435565
"Wave_522",6.46900853169712
"Wave_523",5.12465288386646
"Wave_524",3.48067192771454
"Wave_525",1.51392463506614
"Wave_526",-0.337303975396957
"Wave_527",-2.12214269623977
"Wave_528",-4.2108261459258
"Wave_529",-6.55468650100155
"Wave_530",-8.87172616214966
"Wave_531",-10.8201863329637
"Wave_532",-12.5860353962852
"Wave_533",-13.6463286752953
"Wave_534",-13.7710957675047
"Wave_535",-14.0883230066484
"Wave_536",-14.1277124956515
"Wave_537",-13.7704658035883
"Wave_538",-13.69959843773
"Wave_539",-13.0572214892538
"Wave_540",-12.0796890297203
"Wave_541",-11.8932309136776
"Wave_542",-11.6376245752462
"Wave_543",-11.4097928838278
"Wave_544",-11.5636844186489
"Wave_545",-11.6034980315022
"Wave_546",-11.7369921710384
"Wave_547",-12.1580591219473
"Wave_548",-12.5094708773904
"Wave_549",-12.6966592248592
"Wave_550",-12.758888300103
"Wave_551",-13.0091605815761
"Wave_552",-13.0253781355675
"Wave_553",-12.8583362631891
"Wave_554",-13.0124962320891
"Wave_555",-12.955249052506
"Wave_556",-12.6283441510988
"Wave_557",-12.1549021686663
"Wave_558",-11.5691847036999
"Wave_559",-11.0256304721997
"Wave_560",-10.6052279478409
"Wave_561",-9.99285141808783
"Wave_562",-9.1923527530761
"Wave_563",-8.32605419253611
"Wave_564",-7.76101071598724
"Wave_565",-7.25417461691764
"Wave_566",-6.68659425847845
"Wave_567",-6.02868073860914
"Wave_568",-5.38897499735306
"Wave_569",-4.90778767162747
"Wave_570",-4.72325038227087
"Wave_571",-4.49698137704186
"Wave_572",-4.32062341527802
"Wave_573",-4.31502914139342
"Wave_574",-4.19130973600084
"Wave_575",-4.21255538410957
"Wave_576",-4.46681398284418
"Wave_577",-4.49669264182351
"Wave_578",-4.61656787054859
"Wave_579",-4.84173414358158
"Wave_580",-4.8662386940849
"Wave_581",-4.72392441398755
"Wave_582",-4.43944345162619
"Wave_583",-4.05065459090329
"Wave_584",-3.44210339857754
"Wave_585",-2.60947311887753
"Wave_586",-1.59401265080452
"Wave_587",-0.494191016102489
"Wave_588",0.630953559309127
"Wave_589",1.78691655169856
"Wave_590",3.10611847720599
"Wave_591",4.66898398661235
"Wave_592",6.38074592065463
"Wave_593",7.92404956410532
"Wave_594",9.4182734325671
"Wave_595",10.8051329428551
"Wave_596",11.9642485430102
"Wave_597",12.8997074024515
"Wave_598",13.6867972898758
"Wave_599",14.3642644908139
"Wave_600",14.65473154666
"Wave_601",14.6148294852424
"Wave_602",14.3281677371819
"Wave_603",13.8887193453958
"Wave_604",13.2405939977389
"Wave_605",12.3419278004364
"Wave_606",11.1396690515068
"Wave_607",9.83684951576962
"Wave_608",8.60565094249574
"Wave_609",7.58964197020091
"Wave_610",6.32749458724452
"Wave_611",5.13520393731328
"Wave_612",4.40912711486856
"Wave_613",3.93515717979243
"Wave_614",3.58094769140332
"Wave_615",3.32363602628797
"Wave_616",3.40662408107755
"Wave_617",3.61769718369805
"Wave_618",3.9499153035505
"Wave_619",4.63401304377144
"Wave_620",5.35875432572083
"Wave_621",6.18862011598186
"Wave_622",7.32091843957479
"Wave_623",8.25284154496358
"Wave_624",9.1776065046124
"Wave_625",10.330223829237
"Wave_626",11.3955113173302
"Wave_627",12.5075783733843
"Wave_628",13.738682327565
"Wave_629",14.9821089122039
"Wave_630",16.1717931683581
"Wave_631",17.3111195008535
"Wave_632",18.4493706777479
"Wave_633",20.0009355204708
"Wave_634",21.8677646508156
"Wave_635",23.7613279956242
"Wave_636",25.8427322974363
"Wave_637",28.036526492139
"Wave_638",30.3106154665857
"Wave_639",33.0145663526687
"Wave_640",35.6384733056129
"Wave_641",38.0073806741379
"Wave_642",40.6810079354238
"Wave_643",43.094435766247
"Wave_644",45.0886837836087
"Wave_645",46.7942672896841
"Wave_646",47.7399088410554
"Wave_647",47.8105680703689
"Wave_648",47.0064479584916
"Wave_649",45.1522236191966
"Wave_650",42.0876823446001
"Wave_651",37.7647780713169
"Wave_652",32.4169752489323
"Wave_653",26.2678552242653
"Wave_654",19.5214342594282
"Wave_655",12.3628438797889
"Wave_656",5.12996173537505
"Wave_657",-2.02637250742607
