"","ADF_PERC_DW.13.comps"
"(Intercept)",59.1077918248651
"Wave_1200",-5.26073944490154
"Wave_1201",-5.4417005462015
"Wave_1202",-5.2871474909548
"Wave_1203",-4.91505080650718
"Wave_1204",-5.14680566304726
"Wave_1205",-5.03291379756257
"Wave_1206",-4.07105957947368
"Wave_1207",-3.82432122781707
"Wave_1208",-3.72935031018883
"Wave_1209",-4.32637662240305
"Wave_1210",-4.72204761931012
"Wave_1211",-4.83107942108362
"Wave_1212",-4.35746059443099
"Wave_1213",-3.74327931330028
"Wave_1214",-4.31585760217687
"Wave_1215",-4.97188815389204
"Wave_1216",-4.39066254130275
"Wave_1217",-4.39118991626658
"Wave_1218",-5.12991060733148
"Wave_1219",-5.08176096872806
"Wave_1220",-5.32426031567867
"Wave_1221",-5.3614620351633
"Wave_1222",-4.19381377062786
"Wave_1223",-3.68087179654122
"Wave_1224",-3.15267660832984
"Wave_1225",-2.81929696703345
"Wave_1226",-2.8372535236461
"Wave_1227",-3.32786905355618
"Wave_1228",-3.10083067910419
"Wave_1229",-1.81156861802165
"Wave_1230",-1.31566478858797
"Wave_1231",-1.41563124174008
"Wave_1232",-0.534406987527131
"Wave_1233",-0.563964284857401
"Wave_1234",-1.38582492515618
"Wave_1235",-0.551929446491273
"Wave_1236",0.0784984806252921
"Wave_1237",-0.3950108743854
"Wave_1238",-0.458008139452918
"Wave_1239",-0.40380393439383
"Wave_1240",-0.749529491889227
"Wave_1241",-1.20765742024336
"Wave_1242",-1.50775637891139
"Wave_1243",-1.76178379182498
"Wave_1244",-1.78516425692088
"Wave_1245",-1.66173295168407
"Wave_1246",-1.04239559169848
"Wave_1247",-0.959087792712258
"Wave_1248",-1.40306882730955
"Wave_1249",-1.62988591785764
"Wave_1250",-1.80749858669824
"Wave_1251",-1.58498561438252
"Wave_1252",-0.871983217692591
"Wave_1253",-1.00401854766694
"Wave_1254",-1.49285934265525
"Wave_1255",-0.844319584498291
"Wave_1256",0.179432574501509
"Wave_1257",0.723158387074902
"Wave_1258",1.99654300935389
"Wave_1259",3.16734865665022
"Wave_1260",2.14516672481254
"Wave_1261",1.79304169672076
"Wave_1262",3.24293426327985
"Wave_1263",3.11110470838147
"Wave_1264",2.08202928187133
"Wave_1265",2.13199325920916
"Wave_1266",2.49063544046391
"Wave_1267",2.44899528849299
"Wave_1268",2.28682292684429
"Wave_1269",3.23378077120762
"Wave_1270",4.11408654232017
"Wave_1271",3.31413306449682
"Wave_1272",2.65854479185558
"Wave_1273",2.66305207822935
"Wave_1274",1.60443817635003
"Wave_1275",0.946265412135308
"Wave_1276",1.76713200988281
"Wave_1277",2.67765750619614
"Wave_1278",3.23663988358189
"Wave_1279",3.13884588317906
"Wave_1280",2.4204235820507
"Wave_1281",1.84077796830285
"Wave_1282",1.45142483203578
"Wave_1283",1.35537308233826
"Wave_1284",0.904697682770214
"Wave_1285",0.161955332133008
"Wave_1286",-0.0725440459729553
"Wave_1287",-0.16688800247386
"Wave_1288",-0.225572840241582
"Wave_1289",-0.0227082933755096
"Wave_1290",-0.112261317262885
"Wave_1291",-0.542289454299776
"Wave_1292",-1.05558159764
"Wave_1293",-1.3845433698964
"Wave_1294",-1.98515881535825
"Wave_1295",-2.34393191819389
"Wave_1296",-1.4818309974915
