"","ADL_PERC_DW.13.comps"
"(Intercept)",35.436860636571
"Wave_1200",-13.6592005298191
"Wave_1201",-13.6198707387414
"Wave_1202",-13.0943583329986
"Wave_1203",-12.5172524670093
"Wave_1204",-12.4201517424701
"Wave_1205",-11.9950181012889
"Wave_1206",-11.3609629804337
"Wave_1207",-11.0409647895547
"Wave_1208",-10.6327950997461
"Wave_1209",-10.3491301751617
"Wave_1210",-10.6812256418634
"Wave_1211",-11.1439743519786
"Wave_1212",-11.1363373546859
"Wave_1213",-10.5881794053902
"Wave_1214",-9.96539982680042
"Wave_1215",-10.0097836274698
"Wave_1216",-10.0774505462354
"Wave_1217",-10.2987753205417
"Wave_1218",-11.0005927503302
"Wave_1219",-10.8856348926898
"Wave_1220",-10.184989232841
"Wave_1221",-9.7500043074223
"Wave_1222",-9.3773536032623
"Wave_1223",-8.99078789932622
"Wave_1224",-8.70496561608773
"Wave_1225",-8.89516156415573
"Wave_1226",-8.78570667674324
"Wave_1227",-8.42530710286663
"Wave_1228",-8.33969510360263
"Wave_1229",-8.16366938332092
"Wave_1230",-7.61133295846166
"Wave_1231",-7.44237948904289
"Wave_1232",-7.12355582769467
"Wave_1233",-6.73305369512746
"Wave_1234",-6.45373105044507
"Wave_1235",-6.34399829521244
"Wave_1236",-6.66938195278336
"Wave_1237",-7.13094776066717
"Wave_1238",-7.45896315889515
"Wave_1239",-7.0063395884772
"Wave_1240",-6.58767060843158
"Wave_1241",-6.62459417568329
"Wave_1242",-6.28974778005122
"Wave_1243",-6.33950404653485
"Wave_1244",-6.53849853203558
"Wave_1245",-6.30512991333396
"Wave_1246",-5.29766883473243
"Wave_1247",-5.01993136530867
"Wave_1248",-5.35240919716393
"Wave_1249",-4.8749521858191
"Wave_1250",-4.18570800031654
"Wave_1251",-3.98851278625251
"Wave_1252",-3.76335635722819
"Wave_1253",-3.5106388349575
"Wave_1254",-3.50840759171625
"Wave_1255",-3.51079728716395
"Wave_1256",-3.5034710348692
"Wave_1257",-3.12096553926949
"Wave_1258",-2.17661765510619
"Wave_1259",-1.50675184861117
"Wave_1260",-1.32763025262297
"Wave_1261",-1.18700412483104
"Wave_1262",-1.23519505350504
"Wave_1263",-1.53243644670502
"Wave_1264",-1.00873080881265
"Wave_1265",-0.20989010795158
"Wave_1266",0.0154664013125961
"Wave_1267",-0.378195946175395
"Wave_1268",-0.41606086433251
"Wave_1269",0.232253105074268
"Wave_1270",0.898426819152168
"Wave_1271",1.0605462329053
"Wave_1272",0.730396000321391
"Wave_1273",0.311278921655678
"Wave_1274",0.131170396516894
"Wave_1275",0.330236545228439
"Wave_1276",0.683873911687085
"Wave_1277",1.41243062212426
"Wave_1278",2.06250065977547
"Wave_1279",2.10424938094534
"Wave_1280",2.03227894233645
"Wave_1281",1.7890930125389
"Wave_1282",1.23473657726868
