"","PERC_C.12.comps"
"(Intercept)",59.2157432285155
"Wave_1200",0.706087533298704
"Wave_1201",0.0984938140929008
"Wave_1202",-0.111878672807143
"Wave_1203",-0.483193498261406
"Wave_1204",-1.03173645842111
"Wave_1205",-1.36742602263952
"Wave_1206",-1.47183521506075
"Wave_1207",-1.8491908868652
"Wave_1208",-2.40477556554878
"Wave_1209",-2.65932294881909
"Wave_1210",-2.63133051946981
"Wave_1211",-3.1124127384793
"Wave_1212",-3.45991747497256
"Wave_1213",-3.39649399284151
"Wave_1214",-3.82947666404546
"Wave_1215",-4.26711544326982
"Wave_1216",-3.97382855265819
"Wave_1217",-3.63552285621363
"Wave_1218",-3.6281492232173
"Wave_1219",-3.71053946990445
"Wave_1220",-3.66962965719526
"Wave_1221",-3.31446439458854
"Wave_1222",-2.88403857770162
"Wave_1223",-2.72168678717286
"Wave_1224",-2.43429978945366
"Wave_1225",-2.36439594540651
"Wave_1226",-2.07556086280922
"Wave_1227",-1.68279008306105
"Wave_1228",-1.06027653663293
"Wave_1229",-0.551642109982147
"Wave_1230",-0.43361479871993
"Wave_1231",-0.394802362882289
"Wave_1232",0.00762304389022317
"Wave_1233",0.411173850192632
"Wave_1234",0.257558735900943
"Wave_1235",0.207546502878424
"Wave_1236",0.531787469372832
"Wave_1237",0.540190545530366
"Wave_1238",0.635519603756732
"Wave_1239",0.909048564807195
"Wave_1240",0.802006753039506
"Wave_1241",0.745202569732271
"Wave_1242",0.892225609168321
"Wave_1243",0.896125051735434
"Wave_1244",0.922864742562785
"Wave_1245",0.998924237078441
"Wave_1246",1.21182332069701
"Wave_1247",1.25115947026971
"Wave_1248",1.16409381588498
"Wave_1249",1.2494163914324
"Wave_1250",1.31977831324229
"Wave_1251",1.44971126647433
"Wave_1252",1.70302391503411
"Wave_1253",1.76574764339628
"Wave_1254",1.84737572189165
"Wave_1255",2.1055501198561
"Wave_1256",2.18386490711185
"Wave_1257",1.97090174853086
"Wave_1258",1.84624569275614
"Wave_1259",1.92676426252457
"Wave_1260",1.8419544887442
"Wave_1261",1.72632550523418
"Wave_1262",1.69196834355004
"Wave_1263",1.56181515192055
"Wave_1264",1.58924102865161
"Wave_1265",1.75383188319005
"Wave_1266",1.78665593525666
"Wave_1267",1.77158033281352
"Wave_1268",1.51136709950631
"Wave_1269",1.42468061102231
"Wave_1270",1.58544322898679
"Wave_1271",1.4502556182522
"Wave_1272",1.26551679255628
"Wave_1273",1.2100137295682
"Wave_1274",1.10093755531258
"Wave_1275",1.18484700578937
"Wave_1276",1.17562558863737
"Wave_1277",0.994833313243749
"Wave_1278",0.956767855255551
"Wave_1279",1.03603949840467
"Wave_1280",0.999809091827906
"Wave_1281",0.800547459389795
"Wave_1282",0.765495358665847
"Wave_1283",0.56020537893897
"Wave_1284",0.212146845732463
"Wave_1285",0.318030725190799
"Wave_1286",0.465585034223191
"Wave_1287",0.475093124040943
"Wave_1288",0.514219586996657
"Wave_1289",0.816119372189276
"Wave_1290",1.01436112040599
"Wave_1291",0.951267557553151
"Wave_1292",0.861029573196291
"Wave_1293",0.908104027911404
"Wave_1294",1.08801464428617
"Wave_1295",1.23036333327057
"Wave_1296",1.2268783393434
"Wave_1297",1.19220407280828
"Wave_1298",1.1510330645661
"Wave_1299",1.18768081417218
"Wave_1300",1.35793419354887
"Wave_1301",1.50290499293689
"Wave_1302",1.40942679341446
"Wave_1303",1.10379882275898
"Wave_1304",1.02674142687639
"Wave_1305",1.06615194141797
"Wave_1306",1.01009980242382
"Wave_1307",1.17532709207013
"Wave_1308",1.34808415623203
"Wave_1309",1.19026482233337
"Wave_1310",0.925281226993604
"Wave_1311",0.913043832024254
"Wave_1312",0.963059951604055
"Wave_1313",0.92499817952445
"Wave_1314",1.0232927070676
"Wave_1315",1.07202946348701
"Wave_1316",0.736609335852933
"Wave_1317",0.239490431851388
"Wave_1318",0.0440397890733818
"Wave_1319",0.216183726025439
"Wave_1320",0.427730011516833
"Wave_1321",0.422023801581578
"Wave_1322",0.355669119785889
"Wave_1323",0.356874103921795
"Wave_1324",0.313094232280392
"Wave_1325",0.187597268156493
"Wave_1326",0.209070525507508
"Wave_1327",0.424065234660861
"Wave_1328",0.498898803199706
"Wave_1329",0.398412087021362
"Wave_1330",0.390803792070039
"Wave_1331",0.287144917169055
"Wave_1332",-0.00936495505156498
"Wave_1333",0.143846157233701
"Wave_1334",0.564705190701394
"Wave_1335",0.430455049600061
"Wave_1336",0.290684680339042
"Wave_1337",0.241851837791184
"Wave_1338",0.242082135467645
"Wave_1339",-0.0698078980570397
"Wave_1340",-0.0861509248891176
"Wave_1341",0.214846536406254
"Wave_1342",0.401750077307006
"Wave_1343",0.423645233366393
"Wave_1344",0.520312331843864
"Wave_1345",0.596355755401795
"Wave_1346",0.556071266583269
"Wave_1347",0.541914066698299
"Wave_1348",0.785084839858912
