"","CELL_PERC_DW.13.comps"
"(Intercept)",25.9572117596472
"Wave_1200",-2.30269037505697
"Wave_1201",-1.93400044781057
"Wave_1202",-1.68427560878323
"Wave_1203",-1.04208212418773
"Wave_1204",-0.615856606746902
"Wave_1205",-0.361497509408937
"Wave_1206",-0.287757698556374
"Wave_1207",0.186110115707092
"Wave_1208",1.01224010170848
"Wave_1209",0.936405374252232
"Wave_1210",0.758394146794999
"Wave_1211",1.60990539799466
"Wave_1212",2.64025648204632
"Wave_1213",2.75079716694685
"Wave_1214",2.76327682952088
"Wave_1215",2.99240015530523
"Wave_1216",2.94432078095022
"Wave_1217",3.15509469477071
"Wave_1218",3.71921546700899
"Wave_1219",3.89201727709634
"Wave_1220",3.33140326567481
"Wave_1221",3.26787375626728
"Wave_1222",3.92231284702514
"Wave_1223",3.85208580698876
"Wave_1224",3.79517154561881
"Wave_1225",3.88157533915964
"Wave_1226",3.81009894792624
"Wave_1227",3.36980230861374
"Wave_1228",2.95969814540367
"Wave_1229",3.03294429719742
"Wave_1230",2.9072212687046
"Wave_1231",2.45102227452083
"Wave_1232",2.26733213744473
"Wave_1233",2.45769262993803
"Wave_1234",2.31020935675536
"Wave_1235",1.82549010819026
"Wave_1236",1.85035783072297
"Wave_1237",1.98967249854291
"Wave_1238",1.69395466108065
"Wave_1239",1.37725929890423
"Wave_1240",0.990709486426054
"Wave_1241",0.411885522879146
"Wave_1242",0.0365226981842752
"Wave_1243",-0.0640417845039363
"Wave_1244",0.355572196707686
"Wave_1245",0.550817020315547
"Wave_1246",0.938654445166646
"Wave_1247",0.642819621146395
"Wave_1248",0.365809394428474
"Wave_1249",0.0959030871764198
"Wave_1250",-0.118683121518867
"Wave_1251",0.068826638258518
"Wave_1252",0.148906654153335
"Wave_1253",-0.378493819755229
"Wave_1254",-0.853874691682215
"Wave_1255",-0.448225735502912
"Wave_1256",0.00341843468114758
"Wave_1257",0.0401087672454497
"Wave_1258",0.621738532122325
"Wave_1259",1.3528945227653
"Wave_1260",0.979785817176916
"Wave_1261",0.638648200126957
"Wave_1262",0.976391701928216
"Wave_1263",0.599385675619746
"Wave_1264",0.0244798874931041
"Wave_1265",0.126272475970941
"Wave_1266",0.3352730573558
"Wave_1267",0.580809164900977
"Wave_1268",0.347002911594186
"Wave_1269",0.0323865672941165
"Wave_1270",0.252960932827641
"Wave_1271",0.502612051620746
"Wave_1272",0.378287788785416
"Wave_1273",0.642482250536959
"Wave_1274",0.628385584132705
"Wave_1275",-0.0978446225410571
"Wave_1276",-0.670148348438137
"Wave_1277",-0.61487890638609
"Wave_1278",0.0799413738974155
"Wave_1279",0.130897999002595
"Wave_1280",-0.708928133782307
"Wave_1281",-1.36654191359099
"Wave_1282",-1.99834997964988
"Wave_1283",-2.59455765790937
"Wave_1284",-2.58475386944277
"Wave_1285",-2.41058601757495
"Wave_1286",-2.65911938832571
"Wave_1287",-3.18501825326599
"Wave_1288",-3.34902820555399
"Wave_1289",-3.25394224976008
"Wave_1290",-3.084874319472
"Wave_1291",-3.78837710768203
"Wave_1292",-4.37658986776847
"Wave_1293",-4.14498975748247
"Wave_1294",-4.44590876163228
"Wave_1295",-4.73687609464442
"Wave_1296",-4.14165384385587
"Wave_1297",-4.0912817554854
"Wave_1298",-4.48260637486662
"Wave_1299",-4.54695797078503
"Wave_1300",-4.59878863864002
"Wave_1301",-4.66432573104703
"Wave_1302",-5.12833211570305
"Wave_1303",-5.27583006104286
"Wave_1304",-5.04773067860119
"Wave_1305",-5.74544201114498
"Wave_1306",-6.32862168114445
"Wave_1307",-5.97709800868029
"Wave_1308",-5.74344658992511
"Wave_1309",-5.89143474434762
"Wave_1310",-6.20237002410878
"Wave_1311",-6.17922721143337
"Wave_1312",-6.28450971547944
"Wave_1313",-6.42912580869216
"Wave_1314",-6.35442259402542
"Wave_1315",-6.01740172229487
"Wave_1316",-5.90711532298784
"Wave_1317",-6.47363688327112
"Wave_1318",-6.64354181363351
"Wave_1319",-6.1175380851899
"Wave_1320",-6.04848036407292
"Wave_1321",-6.4888033771296
"Wave_1322",-6.53197275031416
"Wave_1323",-6.48886359216208
"Wave_1324",-6.67702678043392
"Wave_1325",-6.39773562096615
"Wave_1326",-5.97345130128407
"Wave_1327",-6.38879127348394
"Wave_1328",-6.95065118940444
"Wave_1329",-6.78754077137612
"Wave_1330",-6.30521467123124
"Wave_1331",-5.93660972292609
"Wave_1332",-6.01825667805531
"Wave_1333",-5.91061883396088
"Wave_1334",-5.29475006248572
"Wave_1335",-4.85782754993538
"Wave_1336",-4.34664000666869
"Wave_1337",-3.24109086054716
"Wave_1338",-2.3694217809453
"Wave_1339",-1.80716066602522
"Wave_1340",-1.28960845156349
"Wave_1341",-0.557140822336912
"Wave_1342",-0.044036363170907
"Wave_1343",0.280609041241084
"Wave_1344",0.818701495064626
"Wave_1345",1.68934685255118
"Wave_1346",2.61331637994091
"Wave_1347",3.09631271911316
"Wave_1348",3.95176685801907
"Wave_1349",5.2673731819049
"Wave_1350",6.05275413636634
"Wave_1351",6.6153016330168
"Wave_1352",7.22898366634224
"Wave_1353",7.61256219716109
