"","PERC_N.9.comps"
"(Intercept)",1.61215488714803
"Wave_1500",1.02183336036159
"Wave_1501",0.944973884481323
"Wave_1502",0.869314231325183
"Wave_1503",0.791064289817751
"Wave_1504",0.71701711246999
"Wave_1505",0.648005739022868
"Wave_1506",0.57654913727644
"Wave_1507",0.513148943510647
"Wave_1508",0.450508396315523
"Wave_1509",0.38324086243617
"Wave_1510",0.323458483590836
"Wave_1511",0.266768616042492
"Wave_1512",0.214344084527279
"Wave_1513",0.166604304426853
"Wave_1514",0.115592026017959
"Wave_1515",0.0709064363915516
"Wave_1516",0.0296069307316345
"Wave_1517",-0.0126420056509732
"Wave_1518",-0.0546366350015299
"Wave_1519",-0.0874190021115708
"Wave_1520",-0.112356782940486
"Wave_1521",-0.148716669454325
"Wave_1522",-0.188677261022855
"Wave_1523",-0.215710236029883
"Wave_1524",-0.24188022837422
"Wave_1525",-0.270667419231295
"Wave_1526",-0.291802085627576
"Wave_1527",-0.31098213369955
"Wave_1528",-0.335633487148909
"Wave_1529",-0.357889797540962
"Wave_1530",-0.370943920225365
"Wave_1531",-0.383733651066827
"Wave_1532",-0.399257435245007
"Wave_1533",-0.414155322033362
"Wave_1534",-0.430789342400676
"Wave_1535",-0.438717906747934
"Wave_1536",-0.442771531399798
"Wave_1537",-0.444684007124135
"Wave_1538",-0.44372259749397
"Wave_1539",-0.432073658783757
"Wave_1540",-0.423175886471246
"Wave_1541",-0.420692934747518
"Wave_1542",-0.420091859345333
"Wave_1543",-0.407023366399596
"Wave_1544",-0.381898200802503
"Wave_1545",-0.371138942020606
"Wave_1546",-0.363648317541373
"Wave_1547",-0.334913140629483
"Wave_1548",-0.306568315598056
"Wave_1549",-0.288392228988572
"Wave_1550",-0.265913383581504
"Wave_1551",-0.248473897619846
"Wave_1552",-0.243235888075548
"Wave_1553",-0.237724853878091
"Wave_1554",-0.224672126103102
"Wave_1555",-0.216864927390221
"Wave_1556",-0.216185436707307
"Wave_1557",-0.211098234084196
"Wave_1558",-0.206669682331437
"Wave_1559",-0.210578642653774
"Wave_1560",-0.227424721099133
"Wave_1561",-0.253120447707271
"Wave_1562",-0.277644200783892
"Wave_1563",-0.294425076738287
"Wave_1564",-0.301853639570474
"Wave_1565",-0.316552966923478
"Wave_1566",-0.341589144358409
"Wave_1567",-0.36731456023509
"Wave_1568",-0.39920336191183
"Wave_1569",-0.430508183310346
"Wave_1570",-0.452984598400372
"Wave_1571",-0.476143224409059
"Wave_1572",-0.503985192647606
"Wave_1573",-0.527894658610735
"Wave_1574",-0.542391598934026
"Wave_1575",-0.562307728799837
"Wave_1576",-0.587416603336221
"Wave_1577",-0.604595584402017
"Wave_1578",-0.620097676908585
"Wave_1579",-0.628654646177434
"Wave_1580",-0.628952439325861
"Wave_1581",-0.632916578857769
"Wave_1582",-0.643300298198749
