"","SAMPLE_dN15.14.comps"
"(Intercept)",-11.283387274768
"Wave_1200",3.43389926124335
"Wave_1201",2.38781269402556
"Wave_1202",1.64316311609916
"Wave_1203",1.04066990469256
"Wave_1204",0.386396698061949
"Wave_1205",-0.330916542047524
"Wave_1206",-1.26587682773218
"Wave_1207",-1.96415819204928
"Wave_1208",-2.85005120777987
"Wave_1209",-2.98984425646191
"Wave_1210",-2.72145495880678
"Wave_1211",-2.64282441914515
"Wave_1212",-2.95667612580685
"Wave_1213",-3.16175826477608
"Wave_1214",-3.32211561475026
"Wave_1215",-3.47101226245514
"Wave_1216",-3.35199180523818
"Wave_1217",-3.24132209631771
"Wave_1218",-3.21416760784859
"Wave_1219",-3.06391852545656
"Wave_1220",-2.74772483973196
"Wave_1221",-2.43904083026405
"Wave_1222",-2.34293209761931
"Wave_1223",-2.26395785828781
"Wave_1224",-2.19288931286473
"Wave_1225",-2.15692679573854
"Wave_1226",-2.12170848925983
"Wave_1227",-2.19170129529676
"Wave_1228",-1.97358497282053
"Wave_1229",-1.58531015798355
"Wave_1230",-1.56198053605479
"Wave_1231",-1.76836945482775
"Wave_1232",-1.68776193854517
"Wave_1233",-1.8382714515046
"Wave_1234",-2.13195270686774
"Wave_1235",-1.68378511238458
"Wave_1236",-1.4095157724548
"Wave_1237",-1.75653423007211
"Wave_1238",-1.42169758824018
"Wave_1239",-0.899503521639201
"Wave_1240",-0.740317508203094
"Wave_1241",-0.376409210586466
"Wave_1242",-0.145220464020023
"Wave_1243",0.0605341117527707
"Wave_1244",0.10655944625672
"Wave_1245",0.0115502256606421
"Wave_1246",-0.253319127506348
"Wave_1247",-0.0648791023112895
"Wave_1248",0.0409258337071476
"Wave_1249",-0.132147856221625
"Wave_1250",0.17917915540439
"Wave_1251",0.227303333063051
"Wave_1252",-0.381514340195785
"Wave_1253",-0.506722133780468
"Wave_1254",-0.249905983209753
"Wave_1255",-0.452133191850257
"Wave_1256",-0.972256259340576
"Wave_1257",-1.17523625173193
"Wave_1258",-1.41195763299567
"Wave_1259",-2.00409822931973
"Wave_1260",-2.19947945773345
"Wave_1261",-1.98743410744097
"Wave_1262",-1.82284854479846
"Wave_1263",-1.64422759131588
"Wave_1264",-1.54833655553065
"Wave_1265",-1.45235467902697
"Wave_1266",-1.43824886366417
"Wave_1267",-1.86838534274877
"Wave_1268",-2.03497220903514
"Wave_1269",-1.46220586675879
"Wave_1270",-1.33193768482617
"Wave_1271",-1.35962462856097
"Wave_1272",-1.25509342380494
"Wave_1273",-1.41365758612496
"Wave_1274",-1.3310785867252
"Wave_1275",-1.12393717484892
"Wave_1276",-0.820962460435584
"Wave_1277",-0.601849838874288
"Wave_1278",-0.552830799029075
"Wave_1279",-0.256638209005888
"Wave_1280",-0.0865233623501729
"Wave_1281",-0.39079208512448
"Wave_1282",-0.498529711251916
"Wave_1283",-0.289757837842091
"Wave_1284",-0.459456649573452
"Wave_1285",-0.0778590086101363
"Wave_1286",0.637767470719736
"Wave_1287",0.502177760243735
"Wave_1288",0.569878581718838
"Wave_1289",0.731641430756582
"Wave_1290",0.880963221544906
"Wave_1291",0.569003510675396
"Wave_1292",0.863643881010308
"Wave_1293",1.07803959008053
"Wave_1294",0.678116513957304
"Wave_1295",0.503899187047702
"Wave_1296",0.39929617190386
"Wave_1297",-0.118289712351491
"Wave_1298",-0.576234166163411
"Wave_1299",-0.0308158287439942
"Wave_1300",0.361730386937665
"Wave_1301",-0.282796333441974
"Wave_1302",-0.00955768558986136
"Wave_1303",0.389967432716424
"Wave_1304",0.142559563997497
"Wave_1305",0.704637773013922
"Wave_1306",0.80991868544898
"Wave_1307",-0.105535678317431
"Wave_1308",-0.392180132738114
"Wave_1309",-0.0150826564211739
"Wave_1310",-0.0539332257560126
"Wave_1311",-0.163516774002745
"Wave_1312",-0.193810985667076
"Wave_1313",-0.0697847062406682
"Wave_1314",-0.190295674437388
"Wave_1315",-0.192943949862608
"Wave_1316",-0.213852594794864
"Wave_1317",-0.243317512586599
"Wave_1318",-0.2923966756042
"Wave_1319",-0.167827839420139
"Wave_1320",0.1896525385467
"Wave_1321",0.339718707552895
"Wave_1322",0.383793181048529
"Wave_1323",0.515474507395514
"Wave_1324",0.770380135750421
"Wave_1325",0.982126521729501
"Wave_1326",0.885300035829675
"Wave_1327",0.75650718811685
"Wave_1328",0.940341343872418
"Wave_1329",1.37932169300127
"Wave_1330",1.68053147495532
"Wave_1331",1.47417695007701
"Wave_1332",1.32457411963916
"Wave_1333",1.60497085675123
"Wave_1334",1.73097677583039
"Wave_1335",1.85250451274253
"Wave_1336",1.73167821777712
"Wave_1337",1.23501009062537
"Wave_1338",1.11151624880545
